name,ring,quadrant,isNew,description
Spark Streaming,Trial,Platforms,TRUE,
Kubernetes,Adopt,Platforms,,
Docker,Adopt,Platforms,,
Delta Lake,Trial,Platforms,,
S3,Trial,Platforms,,
Azure Blob,Trial,Platforms,,
Spark Cloud Files Auto Loader,Assess,Languages & Frameworks,,
Redis,Adopt,Platforms,,
Spring Boot,Adopt,Languages & Frameworks,,
Java,Adopt,Languages & Frameworks,,
Web API,Trial,Languages & Frameworks,,
.Net,Adopt,Languages & Frameworks,,
Python,Adopt,Languages & Frameworks,,
Selenium,Assess,Tools,,
Git Hub,Adopt,Tools,,
Git,Adopt,Tools,,
Jenkins,Hold,Tools,,
Terra Form,Adopt,Tools,,
Event Bus,Trial,Platforms,,
Microservices,Trial,Techniques,,
BFF - backend for frontends,Trial,Techniques,,
Angular,Trial,Languages & Frameworks,,
ELK stack,,,,
Elastic Search,Adopt,Platforms,,